I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,You feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. You don’t think they are telling us the truth about COVID-19.  They have ulterior motives.,Putting your trust in others is hard for you. It scares you that a company or entity potentially could be experimenting on you with their treatments.,You believe God will protect you from COVID-19.,"Well, we don’t know who is naturally able to avoid getting COVID-19.  The vaccine is the best way to avoid it even if you have a good immune system.  Most religious leaders are recommending that their congregants get vaccinated. ",Do you think everyone in healthcare is in it for the money?,"Otherwise, the fight against COVID is hard, so stop these thoughts.","Well, taking covid vaccine can help you in developing immunity against the virus. You won't be able to spread the virus among your closed ones. This can create a safe environment for everyone. So my advice is that you should get vaccinated as soon as possible.",How does your opinion affect the people around you?,antivax
"It’s true. I do get down sometimes, but this is a private thing. I don’t want my parents or friends to find out.",You realize you might benefit from getting help but you're scared that people will find out and judge you.,You have been feeling sad lately but you're not sure you are ready to get treatment.,You have been feeling down lately.,"It's common to worry about others perceptions, but you can do your part to reduce mental health stigma by sharing your story.",Are you going to get help?,"This must be shared with at least one person, don't keep it all to yourself.",Having down periods is nothing to be ashamed of and it is sometimes good to share.,"No one but us needs to know your extracurricular activities. Tell me though, why are you so ashamed of them?",depression
"I have felt this way for a long time, as long as I can remember. It’s just the way it is. I am sort of used to it. What’s the point?",You've been dealing with some pretty heavy things for so long that you're not quite sure how to process all of them.,You've been sad and unhappy for so long that you've forgotten what it feels like to be happy.,You've felt this way for a long time.,"Sounds like you've been in a dark place for a long time. Here are resources for ways to improve your mental health. You can find a new place, that you enjoy!",Don't you want to feel better?,You should get out more and meet people. Your life is passing you by.,"The point is always what becomes good, what makes you good.",Im sorry to hear that,depression
"I have had thoughts of offing myself, but I keep it to myself. I don’t want anyone thinkin I’m crazy.",You’re scared of what people would really think of you if they knew the truth about how you’ve been feeling.,The idea of being seen as crazy is upsetting to you.,You have considered suicide.,"You're still functional, for now. Let's start treating your depressive symptoms before you have thoughts like that again.",Have you made a plan to end your life?,Nobody will think you're crazy. There are so many people with the same thoughts. You should talk to someone they will understand.,"I have too. And you might be right. However, you can still talk about what makes you feel that way.","Don't do this, talk to people, demonstrate your situation and don't be ashamed, good things will come to you.",depression
"Maybe I need help, but I don’t want people to know about it. People who need therapy, everyone thinks they are whiners, weak. I could never let anyone know about it, particularly guys from my battalion.","You’re starting to think that you may benefit from having someone to talk to, as long as it’s something you could keep quiet about for now. You’re not quite ready for the other guys to know.","You’re intrigued by the idea of therapy and think it might be able to help you, but you’re worried about what the other guys might think if they find out. ","If you start therapy, you don't want people to know. ","You want to maintain army strong, and gaining new perspectives on your life could help you. You can decide who to tell or not.",You don't think any of the other guys are in therapy?,"You can keep this as a secret, but it's mostly up to you. Folks who need therapy are not weak nor whiners, especially when they need it the most.","Wrong, asking for help is recognizing your weaknesses and that is a virtue.",The definitive guide to speaking up about the unspeakable and seeking help during a mental health crisis,depression
I would talk to someone but what if someone finds out about my business. The words gets out on facebook and stuff and everybody finds out.,You’re concerned about what would happen if people found out.,"If there was a way to guarantee that the visit would be completely confidential, you’d feel better about going.",You don't love the idea of everyone finding out your business.,Healthcare professionals are legally obligated to maintain your privacy and confidentiality. You don't need to worry about anyone learning what you talked about.,What are you worried about everyone finding out about you?,Talk to someone that you trust. People can be mean and reveal things you don't want them to. Find someone that you know will keep ytheir word.,Anything you say to a licensed counselor is private information will not be leaked in any method.,"Finding out is not a problem, just be more confident in yourself.",depression
"Of course I want things to be different, but I am not taking any of these antidepressant pills, the pills make it worse",You want to feel better but medication doesn’t seem like an option for you.,"You're willing to talk about different options to potentially feel better, just as long as we don't talk about antidepressants. ",You're not interested in antidepressants.,There are several classes of antidepressants that have different interactions. Let's try a different class than the ones you've had before and see if that feels better.,Have you tried changing your diet and exercising more?,"Use what was indicated by the doctors and always think positive, even though it is difficult.",I certainly respect that decision.  Let's try to think of ways that might help. What are some things that you have tried already?,yes,depression
I do feel like giving up sometimes but I don’t think that means I am depressed.,You’re not entirely sure what the negative feelings you’ve been having mean.,You've been having some really big feelings lately and you're struggling trying to figure out what they all mean.,You've thought about giving up.,Depressive symptoms can present in a variety of ways. Your symptoms sound like a depressive disorder that we should discuss treating.,Do you feel like giving up on everything?,That probably means that you're depressed. You should never want to give up.,"We are not always motivated, but rest assured that if you give up, it will be the worst for you.",everything take a time so please be patient and god will give you all you want,depression
"I guess I feel lucky. I only lost time, two of my buddies were blown to pieces, and I was right there 15 minutes ago, so how can I complain about a little stress. Their families have lost everything, I need to be strong for them.",You feel grateful to be alive and acknowledge that it could easily have been you who didn’t make it home.,It feels a bit selfish to want to reach out for help for your own stress when you see others who have lost everything.,You lost some good buddies over there.,"You still experienced trauma, despite not losing your life. You need to find healthy ways to handle your stress with reacclimiating to being back home, while coping with the loss of your friends.",You don't think you're suffering from losing your friends?,"Exactly, and help in everything they need, the good deeds are few that do.","Your loyalty is admirable. Please remember though, you went through extreme trauma. You need to be gentle with yourself... not so strong. Allow yourself to express what you feel. It is normal, and you don't need to feel guilty in comparison with your friends. Your experience was significant.","You dont always have to be strong for them, you also lost two of your friends",depression
"No matter how much people say they understand. They don’t, they have no goddamn idea what is like there, it was hell and they don’t really want to hear it, so I don’t tell them.",You don’t think others will ever really understand what you dealt with over there so you’ve found that it’s really easier to just keep everything to yourself.,"What you experienced over there seems surreal. You'd like to open up and tell someone what you experienced to feel understood, but part of you also wants to protect others by keeping it to yourself. ",You experienced hell over there.,You don't have to talk to just anyone. You can talk to healthcare professionals that understand and can help. I think you should meet with a therapist.,Have you tried talking to a mental health professional?,"Sometimes you think they don't want to hear from you, but just try or start, sometimes that's the initial step.","I know it was a difficult situation that few people can truly understand. If you have someone in your life that you can trust, it still may be helpful to talk about it, even if they don't know firsthand what you went through.","You know that you can confide in me, I will do my best to understand.",depression
"They tell us that we have to be loyal to them you know, Corp, God, Country…blah blah…but where is the loyalty to us? They won’t pay for my college, I have to drive two hours to get medical care, they promise us a lot but they don’t deliver.","You feel like you put everything on the line and now that you’re back, it doesn’t feel like that is being reciprocated.",You're angry that the military isn't living up to their part of the bargain. You gave them years and your loyalty and now you can't even get them to pay for some college classes or your medical care.,The military is letting you down.,"You did lose a lot of time and energy. Maybe you can consider a scholarship, or moving closer to a VA to access medical care.",Could you move closer to the VA?,Why won't they pay for your education? You should try publicizing their behavior on social media.,Feeling as is if they failed you and you owe them no loyalty is completely valid. However does it change the circumstances?,"I i derstand your frustration, maybe we can find some programs that are helpful for you.",depression
"It sucks that we are never allowed to question the war publically. I’m not sure it was the right thing, I’m not sure they are better off, not  sure we are better off, but if you question it, you are unpatriotic, you are some liberal navel gazer, you are a traitor.",You’ve never really had the opportunity to talk through your own thoughts and opinions about your military experience.,"You’re concerned that if you were to talk about your military experience out loud, you might be judged or labeled incorrectly.",You don't feel comfortable talking about your military experience.,"There are places and people to discuss your experiences with that will protect your privacy. You should be able to speak freely about your time there, what you witnessed, so you can heal and move on.",Have you tried talk to people that have a low opinion of the military?,We should always respect other opinions. There are arguements to support both sides.,That is a very valid opinion. Is there anyone you do feel like you can talk to about it?,"Would it make you feel that much better if you got some acknowledgement about the war being right or wrong? Ultimately, we have to look out for your mental health, no just being right or wrong.",depression
Of course I want things to be different but I am not taking any of these antidepressant pills…the pills make it worse.,You want things to get better but you want to do it without medication.,"You really don't think that meds are the right path for you. If there was another way you could improve your mood without relying on meds, you might be willing to give it a try. ",You want things to be different but don't want to turn to meds.,"Sounds like what you're doing now to manage your mood isn't helping you. You should consider all of your options before dismissing them. Do your research. There is significant empirical data to prove medications improve sympoms, not worsen them. ",Do you think you could worsen if you don't take medication?,"Don't think so, take them if they are indicated and still be excited to find goals and reach them.",Maybe you should consider trying a different pill?,"Taking pills alone won't workout. Unless you decide nobody can change you, try to enjoy cute little things happening around you.",depression
"I need to quit these damn cigarettes already. But I am so scared of the withdrawal, I am at a loss for what to do.","Well, given what you said earlier about drug companies and medications, I am assuming that a medication to help you with your withdrawal is probably not an option.","You know that cigarettes aren't great for you and you've started to think about what life after cigarettes might look like. If you could prepare for the symptoms of withdrawal, you might be ready to give quitting a try. ",You are worried about the side effects of quitting.,I'll prescribe you Chantix for withdrawl.,Have you thought about using meds to help with withdrawl symptoms?,You need to face the withdrawal head on. You'll never get better if you don't.,"Try to ask help at competent people or try to be better in company, askin some friends to help you.",This starts to stop this addiction and know that it only depends on yourself.,drug cessation
Vaping isn’t nearly as bad as cigarettes. It doesn’t cause cancer. Everyone does it. It’s no big deal.,"You don’t think vaping is as toxic to your body as cigarettes, so you don't think it's necessary for you to quit it.","Since vaping doesn’t cause cancer, you’re not really sure why it’s so important not to do it. 
",You don't think vaping is a big deal.,Vaping is just as toxic for your system as cigarettes so you should quit.,Don't you know how bad it is for you?,"Analyze the situation if you've been told by experts that it causes cancer, it might.",But it hasn't been around as long as cigarettes have. Long term damage may be yet to surface.,"I would advise you to looks at the pros and cons of just vaping, and not compare it to smoking. Try to objectively see how vaping benefits or does not benefit you.",drug cessation
"Chewing is so much better than cigarettes. You can do it while you work. I know it isn’t great for me, but I need the little buzz to keep me alert.",You’ve heard that chewing tobacco isn’t great for you but the buzz you get from the nicotine helps you get through the day.,"If you could find something else to give you an afternoon boost, you might consider cutting back.",You know that chewing isn't good for you.,Chewing is worse for you than cigraettes. The rush you get is short-term with long-term health effects. You should quit chewing.,Do you coworkers know you're chewing?,"Just the act of quitting smoking is already something very good and interesting, you will be able to evolve.",I think that this is a great start to overcoming your goal of quitting smoking. Perhaps start by chewing the gum and then move on to doing so less frequently over time.,Have you tried alternatives to chewing to keep you alert? There could be things that are good for you and also keep you alert.,drug cessation
I am just not going to give up my iqmik.  I already gave up cigarettes and alcohol.   We make it ourselves and we know what goes into it.  Everyone wants to take away everything that helps me cope with my stress.  And sweetie I got lots of stress.,Iqmik is the last crutch you have to deal with your stress and giving it up or cutting back is out of the question.,You’ve put a ton of effort into giving up cigarettes and alcohol. Giving up iqmik would be next to impossible for you.,You're feeling very stressed.,You already gave up cigarettes and alcohol so you can give up iqmik too.,"If you gave up alcohol and cigarettes, why is it so hard to give this up too?",Well I really don;t know what iqmik is but ultimately the decisions are yours. Just try to make sure that you keep your use of such things to a moderate level. Moderation is the key. A little bit won't hurt you.,"Endorphin, a substance the body releases when we run or do some physical activity, much better than drugs.","Have you thought of trying other, healthier ways to deal with stress?",drug cessation
"Of course, I have to quit at some point, but now is just not the time. I know what it’s like to go through the withdrawal and it’s pretty awful. I was able to quit a few years ago, with the help of that gum, but with my wife losing her job and having to work so much overtime, I don’t think I have the energy to deal with it right now.","Cigarettes are something that eventually you're going to give up for good. It's not a question of IF you'll quit, the question is more about WHEN you'll quit. ","You have a lot of experience with quitting. You've tried to quit before and were successful. Once you're ready, you'll be able to pull from what you know to be successful again. ",Now doesn't seem like a great time to quit.,"We can find ways to increase your energy and motivation. With your wife not working, she has time to help you stay quit this time. ",How can you afford it with your wife not working?,"There are ways to help quit that make it easier. Having substitutes, a diary, or someone to talk to when cravings get rough are just a few tips.","The moment will never come if you think this way, the action is up to you.",Yes and the important thing is to stay focused day by day,drug cessation
Why should I quit? I am in good shape. I play soccer. I am thin. My father smoked until he was 80. Most of my mates smoke and no one has died from it. I don’t believe its as bad as you all say.,You see no benefit in quitting whatsoever. You are worried I am going to exaggerate things in order to try and get you to quit.,"Because of your family's experience, you're confident smoking is something you're going to do for the rest of your life.
",Your experience has been that smoking is not as bad as the experts keep telling you.,You need to understand how bad it is for you so you can quit.,You really don't think smoking is bad for you?,"In the long run it’s not gonna be good for you. I know it’s hard to tell right now, but you don’t want to find out that you were smoking was the downfall of your life in the future.","Health is something that affects many people, they think in ways and a tremendous ignorance.",ok,drug cessation
"Maybe it’s time to quit. I am 55, my dad died of heart disease, and I am coughing up all this junk every morning.","Given you are coughing up all that stuff, you are starting to get worried that maybe what happened to your dad could happen to you.",Your dad’s passing and the junk you’re coughing up both seem to be signs that it might be time to start thinking about what it would look like to quit.,Smoking is causing you to cough up junk from your lungs.,"You're ready to quit, so here's your prescription to mitigate withdrawl symptoms.",Your dad died of heart disease and you still smoke?,It is not time to quit. It's time to start again. Find your happy place!,"Think about your health, do not harm yourself with addictions anymore.","I'm sorry to hear that about your father. It's only natural to think about our own mortality as we get older, and it's never too late to change your habits. Shall we look at some small milestones that might help you progress towards quitting?",drug cessation
I don’t know why people who never smoked keep bugging me to quit.  My doctor has no idea  how hard it is to even try quitting. I’ve tried to quit many times but can’t even go two days.  No one knows how hard it is to give it up out of the blue.,Quitting cold turkey has not worked for you in the past. It is upsetting to you that you can’t just quit smoking.,"
You're frustrated that quitting hasn't come easy.
",Trying to quit smoking has been hard for you.,"If quitting spontaneously won't work, then make a plan to reduce over the next few months. ",Why can't you make a plan to quit over a few months?,They don't understand how hard it is to go through. Don't listen to them. Quit for yourself. Look at yourself and make your own goals to get healthier.,Have you thought about treatment programs that slowly decrease your addiction over time? Cold turkey rarely works due to the withdrawal symptoms.,"Have willpower, you are greater than any addiction, they are there to help you, but it depends on you.",drug cessation
"I am still working, as I am the sole bread winner in the family – my husband is unemployed. We have another child who is a toddler, and things are hard financially. And sometimes, I get very angry and upset so smoking helps me calm down. I sometimes feel it is all I have left.",The weight of your family and the family finances are all on your shoulders.,A cigarette now and then helps keep you sane and grounded and prevents you from taking out your frustrations on your family.,You rely on smoking to get through the hard times.,You have other options to help you cope.,When will you husband get a job so he can start helping you out?,"Smoking can give an immediate feel good feeling drom nicotine. However, it is short lived and can increase feelings of anxiety amd depression. Have you thought about ways to quit?","Talk to your husband to help you more with your financial situations, and even change the act of smoking for a walk in the park.",Your husband needs to look for a new qualification to be able to look for a new job.,drug cessation
"I know that 2 cigarettes per day are not a problem to the health of the baby. I know that I cannot give them up completely (it would be stressful), so as long as I stay at 2 per day, it should be fine.",Limiting the number of cigarettes you have each day to just two helps keep your baby healthy while also keeping your stress under control.,You can't imagine what it would look like to cut down to less than two cigarettes a day.,It'd be too stressful to give up those two cigarettes a day.,Any amount of smoking is bad for you and your baby's health.,You think it's ok to smoke while pregnant?,You need to stop taking them. You need to get rid of your stress in a healthier way.,Yes 2 day is not as bad as 1/2 a pack but maybe work down to 1 day and then down to none.,I thinkif you can cut down to two you can definitely quit for good.,drug cessation
"I smoked throughout my previous pregnancy, and it was fine – both me and the baby were fine. I don’t feel it is a problem I should focus on.","Since you smoked during your last pregnancy and your first baby was born healthy, you feel like smoking during this pregnancy isn’t an issue.",There's absolutely no reason for you to quit smoking right now.,You smoked during your last pregnancy so smoking during this pregnancy doesn't feel like a problem.,Your child is still too young to know what the long-term effects are of you choosing to smoke during your previous pregnancy. Let me tell you why it's bad for you and your babies health.,Do you know the long-term impacts your child may experience from having a mom who smokes?,"Wrong and you know very well what you did was wrong, don't repeat that, your life is also your child's and no longer yours.","Saying ""I did it and was fine"" is no excuse. There is ample research out there that it is harmful. I'm sure your doctor can help you find a way to cut back or quit that is safe for both you and the baby.","I'm sure it was fine but you don't realize the underlying impacts it might have for the future. Maybe to you everything was okay but what will happen down the line. Most people only see what's on the surface but the most damaging effects happen on the inside, physically and emotionally.",drug cessation
I don’t have what it takes to stop smoking. I am not ambitious enough. I am not tough enough to beat this.,You’re just not sure you have what it takes to be successful at quitting.,You’re feeling a bit defeated. Quitting feels out of reach.,You don't think you're strong enough to quit.,I think you should join this quit smoking group I started.,Have you thought about joining a support group for people trying to quit?,I understand your frustration with yourself. But the first step to changing that habit will be to work on your mindset.,You may just need a little help. What have you tried so far to quit if that is your desire?,You can ask suggestion from doctor.,drug cessation
"We didn’t plan for this pregnancy, it was all unexpected. And I have been feeling fine, no morning sickness, no nothing. It feels like nothing changed in my life, except for this belly which keeps growing. So, I don’t feel I should change anything about my life. That’s why I don’t feel I need to stop smoking.","Since you’ve been feeling good and your life hasn’t really changed since your positive pregnancy test, you’re not in a place where it feels like giving up your daily cigarettes are that important.","Since you feel the same now as you did before getting pregnant, you don't really see a reason to quit. But, if you were feeling differently or not feeling that great during your first trimester, you might feel differently. ",You feel the same now as you did before getting pregnant.,You need condoms to prevent pregnancy and you need to quit smoking to ensure you have a healthy baby. You clearly have a lot to learn.,What do your pregnant friends say?,I think there might be a few things you should consider ; why not start by reading articles on how smoking can harm a fetus. Then we can discuss other motivations for quitting.,"Smoking harms you, but now that you have a baby being born, it will preclude two lives and not just yours, so stop thinking like that.","There is a large body of evidence that smoking affects babies in the womb, particularly the development of their lungs and brain. I'm sure you want to give your child the best start in life, so how about we talk through some alternatives to smoking that you might want to consider going forward?",drug cessation
"I cannot stop thinking about how I am hurting my baby by continuing smoking. But I cannot stop. And the more I think about it, the more I smoke and feel bad about it.","If you could find a way to quit that you knew would work for you, you'd definitely give it a try.  ",You really want to quit but you’re unsure how since you haven’t been successful in the past.,"You know that smoking is bad for you and for your baby.
","You see you're hurting your baby, so let's make a plan to help you quit smoking.",Isn't your baby worth it to quit?,You need to stop smoking to begin with. Try to do something else to distract you.,It would hurt you more to stop cold turkey. Give it time and slowly try to take yourself away from the smoking.,"Your baby is the biggest reason why it's generating a life, so get over it.",drug cessation
"No one can tell me what to do. If I want to smoke, I will and I will stop when I feel like it. I have reduced the number of cigarettes anyway, so I don’t smoke that much anymore, but if anyone tells me to quit, I feel like I want to light up a cigarette right then.",You like to be in control of your life and your own decision making and it really bugs you when other people try to give you advice.,You've really worked hard to cut back and you've been successful. You've found things that have worked well for you.,You don't like it when other people tells you what to do.,If you can tell yourself to quit then you should.,Can't you just tell yourself to quit?,Think like that and you will never stop smoking and you will only be harming your health.,I don't like being told what to do either.  I know that you already know it's not good for your health to continue smoking. Do you wish to quit or have any help in quitting?,"You have the right to smoke cigarettes. You probably know how harmful they are. If you are willing to pay the consequences, which can be a cancer, just do whatever you want!",drug cessation
"I think that it may become difficult to stay smoke free once I return to work. There is a ritual in the office, it’s how we start the days and take breaks. I could not guarantee that once I return to work and the baby is all grown up I won’t start again. But definitely not now, while I am breastfeeding and around the little one all day.",You feel strongly that it’s important not to smoke now while you’re breastfeeding and at home with your baby but you’re unsure how you’re going to keep up the momentum once you’re back to work and around your co-workers.,You want to stay smoke-free once you return to work. You're realizing that you'll need a plan in place before heading back so that you're prepared for the daily office rituals that can lead to smoking.,Staying quit is going to be hard once you go back to work.,You see you don't need to smoke since you're not smoking at home. You should be able to not smoke once you return to work.,"If you can not smoke at home, what's the big deal about also not smoking at work?",Don't give in to the peer pressure. They don't know what's best for you.,"you re really strong, but I am sure you will always be capable of choosing what is best for your son: remember his health!",Overcome the addiction and you will see that you will have a much better life and overcome the problems with other things like physical activities.,drug cessation
"I was never a real smoker, you know? Just when I was having a hard time at work or when stress gets really bad, but it doesn’t happen often enough for me to call myself a smoker. It’s not like I ever had a pack a day. Even if I start again, it won’t be more than a few a day.","You never really saw yourself as a smoker, but someone who would smoke a cigarette occasionally just to decompress.","If you did smoke more than you do now, you would consider yourself a smoker and potentially be looking for ways to cut back or quit.  ",You don't consider yourself a smoker.,"Since you can go longer periods without smoking, it seems like you can choose to never start again. 
",Will you sign this contract stating you'll never smoke a cigarette again?,"Just the fact that you’re starting again is troublesome. I know what you weren’t in the past, but you never know what you can become in the future with this habit.","So control yourself, never let the addiction take over.",Is starting again something that you want? I know most people don't. What can we do to replace what smoking does to help you feel good?,drug cessation
"The biggest challenge is having friends over and seeing them smoke. I used to smoke with my (female) friends and just gossip and catch up. And I don’t miss smoking per se, but when they come to visit me, especially now when the child is small and everyone comes to see him, it’s sometimes hard to see everyone smoking.","On one hand you really don’t miss cigarettes all that much but on the other hand, you do miss the time that you spent with your friends when smoking together.",You feel really conflicted between wanting girl time with your friends and knowing you'll be tempted to smoke when they're around.,Having friends who smoke is a challenge.,Sounds like you need a new group of friends that don't smoke.,Where can you make new friends?,"I think if you explained this to your friends, they would understand. You could ask them not to smoke when they come over to your place.",You have already surpassed yourself and are still better than those who are still living this addiction.,Maybe you should speak to them about this?,drug cessation
"My husband still smokes. But he only smokes on the balcony, so not around me, although he did smoke next to me when we went out last time. Then it wasn’t a temptation, because my reasons for quitting are strong, but I guess that could be a temptation to start smoking again in the future.","While you haven’t been really been tempted so far, you do see that it could be a possibility in the future if your husband keeps smoking around you.",You wish that your husband would quit with you.,Your husband is still smoking which makes it hard for you.,"If you feel tempted again, you should talk to your husband about quitting smoking too.",Have you told your husband to quit?,"This can eventually happen, but be stronger and remember the reasons that made you stop and talk to your husband, so that he has common sense and still try to stop this addiction.",OKAY FOR HIM  TO GET RID OF THIS HABIT HE HAS TO GET INTO A NEW GOOD HABIT FOR EXAMPLE LEARNING TO PLAY MUSICAL INSTRUMENTS  THERE IS A CHANCE OF HEALING THROUGH THIS TAKE CARE,I think quitting smoking for the both of you is the best approach.,drug cessation
